net name,weighted error
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-04 16-29-00.694684_300epochs,3.400356607
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-04 16-33-10.680098_300epochs,3.260526357
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 18-05-05.726338_300epochs,3.813276024
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 22-45-02.759633_300epochs,3.725728751
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 13-24-47.934784_300epochs,4.52241682
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-05 20-07-58.834495_300epochs,3.121254637
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-05 13-31-13.231476_300epochs,4.550786992
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 20-24-42.112311_300epochs,3.538121546
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-05-05 13-28-04.593579_300epochs,4.224489737
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-06 05-45-47.752921_300epochs,3.691596052
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-06 02-39-38.239370_300epochs,4.669002776
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 15-44-41.159288_300epochs,3.474832011
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-06 03-25-33.220088_300epochs,3.085319643
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-06 01-05-59.460457_300epochs,3.023743066
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-05 13-35-17.605824_300epochs,4.636716248
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell2_2021-05-05 13-29-44.843957_300epochs,3.824617418
